P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-354 d,3.0,,,,24.209842,0.146,,,,,0.259,Kepler-354,285.75145,41.33564,15.549,562.96,,,0.67,,,4648.0,4.63,,0.146,0.146,0.146,0.146,8.8063718,8.8063718,8.8063718,438.87836,438.87836,438.87836,Terran,0.67,0.18771662,0.34458727,0.84562699,0.4364729,0.80172882,0.46210129,0.80172882,0.42136994,0.80172882,1.1698095,,,0,0,0,0.43186838,1.24431,2.0809278,0.146
Kepler-355 b,3.0,,,,11.03189,0.102,,,,,0.0683,Kepler-355,285.79946,42.811783,15.087,1493.7,,,1.07,,,6184.0,4.44,,0.102,0.102,0.102,0.102,144.18955,144.18955,144.18955,882.83259,882.83259,882.83259,Terran,1.07,1.5001481,0.8967537,2.0929778,1.1358369,1.9843336,1.2006739,1.9843336,1.0963624,1.9843336,3.3069744,,,0,0,0,0.29032676,1.4573,2.7211983,0.102
Kepler-355 c,3.0,,,,25.762294,0.179,,,,,0.12,Kepler-355,285.79946,42.811783,15.087,1493.7,,,1.07,,,6184.0,4.44,,0.179,0.179,0.179,0.179,46.819639,46.819639,46.819639,666.42599,666.42599,666.42599,Neptunian,1.07,1.5001481,0.8967537,2.0929778,1.1358369,1.9843336,1.2006739,1.9843336,1.0963624,1.9843336,3.3069744,,,0,0,0,0.24802821,2.71282,7.8153238,0.179
Kepler-356 b,3.0,,,,4.612696,0.057,,,,,0.0789,Kepler-356,292.42108,37.682819,12.992,722.14,,,1.33,,,6133.0,4.26,,0.057,0.057,0.057,0.057000001,690.13504,690.13504,690.13504,1305.8053,1305.8053,1305.8053,Superterran,1.33,2.2422487,1.0997552,2.5694164,1.3929626,2.4360407,1.4725363,2.4360407,1.3445629,2.4360407,4.0430179,,,0,0,0,0.27773587,1.5694,3.086051,0.057
Kepler-356 c,3.0,,,,13.121632,0.115,,,,,0.159,Kepler-356,292.42108,37.682819,12.992,722.14,,,1.33,,,6133.0,4.26,,0.115,0.115,0.115,0.115,169.54622,169.54622,169.54622,919.32048,919.32048,919.32048,Superterran,1.33,2.2422487,1.0997552,2.5694164,1.3929626,2.4360407,1.4725363,2.4360407,1.3445629,2.4360407,4.0430179,,,0,0,0,0.27232646,1.80481,3.9125102,0.115
Kepler-357 b,3.0,,,,6.475434,0.063,,,,,0.0897,Kepler-357,291.2431,44.00872,15.565,702.21,,,0.83,,,5036.0,4.5,,0.063,0.063,0.063,0.063000002,100.02455,100.02455,100.02455,805.69666,805.69666,805.69666,Superterran,0.83,0.39699745,0.49266315,1.1894497,0.62403018,1.1277052,0.66037275,1.1277052,0.60243106,1.1277052,1.7012088,,,0,0,0,0.27610381,1.83844,4.0370889,0.063
Kepler-357 c,3.0,,,,16.85837,0.12,,,,,0.171,Kepler-357,291.2431,44.00872,15.565,702.21,,,0.83,,,5036.0,4.5,,0.12,0.12,0.12,0.12,27.569267,27.569267,27.569267,583.78269,583.78269,583.78269,Neptunian,0.83,0.39699745,0.49266315,1.1894497,0.62403018,1.1277052,0.66037275,1.1277052,0.60243106,1.1277052,1.7012088,,,0,0,0,0.26798932,2.66798,7.5972714,0.12
Kepler-357 d,3.0,,,,49.499875,0.246,,,,,0.35,Kepler-357,291.2431,44.00872,15.565,702.21,,,0.83,,,5036.0,4.5,,0.246,0.246,0.246,0.24600001,6.5602064,6.5602064,6.5602064,407.73152,407.73152,407.73152,Neptunian,0.83,0.39699745,0.49266315,1.1894497,0.62403018,1.1277052,0.66037275,1.1277052,0.60243106,1.1277052,1.7012088,,,0,0,0,0.35122649,3.43026,11.640251,0.246
Kepler-358 b,3.0,,,,34.060467,0.21,,,,,0.185,Kepler-358,293.23023,48.281376,15.375,1136.1,,,0.95,,,5908.0,4.5,,0.21,0.21,0.21,0.21000001,22.338768,22.338768,22.338768,553.87239,553.87239,553.87239,Neptunian,0.95,0.98513966,0.73903242,1.7353857,0.9360728,1.6453035,0.98973061,1.6453035,0.90358031,1.6453035,2.6798635,,,0,0,0,0.27533624,2.72403,7.8702326,0.21
Kepler-358 c,3.0,,,,83.488369,0.381,,,,,0.335,Kepler-358,293.23023,48.281376,15.375,1136.1,,,0.95,,,5908.0,4.5,,0.381,0.381,0.381,0.38100001,6.7865312,6.7865312,6.7865312,411.20357,411.20357,411.20357,Neptunian,0.95,0.98513966,0.73903242,1.7353857,0.9360728,1.6453035,0.98973061,1.6453035,0.90358031,1.6453035,2.6798635,,,0,0,0,0.37437223,2.84734,8.4846077,0.381
Kepler-359 b,3.0,,,,25.563222,0.178,,,,,0.118,Kepler-359,293.29363,42.196354,15.886,1502.22,,,1.09,,,6248.0,4.43,,0.178,0.178,0.178,0.178,51.1995,51.1995,51.1995,681.49291,681.49291,681.49291,Neptunian,1.09,1.622205,0.92891094,2.1653602,1.1765655,2.0529588,1.2436658,2.0529588,1.135664,2.0529588,3.4388769,,,0,0,0,0.21358883,3.53115,12.227455,0.178
Kepler-359 c,3.0,,,,57.68802,0.307,,,,,0.204,Kepler-359,293.29363,42.196354,15.886,1502.22,,,1.09,,,6248.0,4.43,,0.307,0.307,0.307,0.30700001,17.211906,17.211906,17.211906,518.92208,518.92208,518.92208,Neptunian,1.09,1.622205,0.92891094,2.1653602,1.1765655,2.0529588,1.2436658,2.0529588,1.135664,2.0529588,3.4388769,,,0,0,0,0.23171715,4.30464,17.115175,0.307
Kepler-359 d,3.0,,,,77.095691,0.372,,,,,0.248,Kepler-359,293.29363,42.196354,15.886,1502.22,,,1.09,,,6248.0,4.43,,0.372,0.372,0.372,0.37200001,11.722489,11.722489,11.722489,471.41117,471.41117,471.41117,Neptunian,1.09,1.622205,0.92891094,2.1653602,1.1765655,2.0529588,1.2436658,2.0529588,1.135664,2.0529588,3.4388769,,,0,0,0,0.2680261,4.01318,15.194508,0.372
Kepler-36 b,3.0,4.449592,-0.317828,0.317828,13.83989,0.1153,0.039,90.01,,,0.245,Kepler-36,291.25019,49.231827,11.866,470.0,-0.2,1.07,1.63,,6.8,5911.0,4.04,0.0017823105,0.11538769,0.1108033,0.1197967,0.11532195,218.76589,202.49672,236.7022,979.52574,961.05757,999.29907,Terran,1.63,2.9060808,1.2690805,2.9798201,1.6074419,2.8251405,1.6995797,2.8251405,1.5516445,2.8251405,4.6027525,2.6076256,0.50362149,0,0,0,0.28560344,1.49093,4.449592,0.1153
Kepler-36 c,3.0,7.9457001,-0.317828,0.63565601,16.23855,0.1283,0.033,89.98,,,0.273,Kepler-36,291.25019,49.231827,11.866,470.0,-0.2,1.07,1.63,,6.8,5911.0,4.04,0.0024211468,0.12836986,0.1240661,0.1325339,0.12831748,176.64078,165.44503,188.79976,928.60052,913.70993,944.37671,Neptunian,1.63,2.9060808,1.2690805,2.9798201,1.6074419,2.8251405,1.6995797,2.8251405,1.5516445,2.8251405,4.6027525,2.6076256,0.50362149,0,0,0,0.19216014,3.67688,7.9457001,0.1283
Kepler-360 b,3.0,,,,3.289672,0.044,,,,,0.049,Kepler-360,286.28473,44.781555,14.866,898.61,,,1.06,,,6053.0,4.42,,0.044,0.044,0.044,0.044000001,698.03584,698.03584,698.03584,1309.5266,1309.5266,1309.5266,Superterran,1.06,1.3513974,0.85795707,2.0079009,1.0867007,1.9036728,1.1488532,1.9036728,1.0489557,1.9036728,3.1387398,,,0,0,0,0.2739999,1.64787,3.3525722,0.044
Kepler-360 c,3.0,,,,7.186434,0.075,,,,,0.0835,Kepler-360,286.28473,44.781555,14.866,898.61,,,1.06,,,6053.0,4.42,,0.075,0.075,0.075,0.075000002,240.24842,240.24842,240.24842,1003.021,1003.021,1003.021,Superterran,1.06,1.3513974,0.85795707,2.0079009,1.0867007,1.9036728,1.1488532,1.9036728,1.0489557,1.9036728,3.1387398,,,0,0,0,0.25540353,2.09627,5.0447392,0.075
Kepler-361 b,3.0,,,,8.486616,0.086,,,,,0.09,Kepler-361,296.80345,46.741154,13.573,955.76,,,1.34,,,6169.0,4.25,,0.086,0.086,0.086,0.086000002,315.03617,315.03617,315.03617,1073.3343,1073.3343,1073.3343,Terran,1.34,2.3300075,1.1186155,2.6115712,1.4168499,2.4760074,1.4977455,2.4760074,1.3676124,2.4760074,4.1213779,,,0,0,0,0.28563261,1.44609,2.685755,0.086
Kepler-361 c,3.0,,,,55.188023,0.3,,,,,0.314,Kepler-361,296.80345,46.741154,13.573,955.76,,,1.34,,,6169.0,4.25,,0.3,0.3,0.3,0.30000001,25.888973,25.888973,25.888973,574.67673,574.67673,574.67673,Neptunian,1.34,2.3300075,1.1186155,2.6115712,1.4168499,2.4760074,1.4977455,2.4760074,1.3676124,2.4760074,4.1213779,,,0,0,0,0.27765901,2.52225,6.9062285,0.3
Kepler-362 b,3.0,,,,10.327186,0.087,,,,,0.0774,Kepler-362,291.77164,47.529903,14.5,1123.91,,,0.72,,,5788.0,4.64,,0.087,0.087,0.087,0.087000002,68.869864,68.869864,68.869864,733.9259,733.9259,733.9259,Terran,0.72,0.521276,0.5415061,1.2754337,0.68588441,1.2092271,0.7252772,1.2092271,0.66208845,1.2092271,1.9493851,,,0,0,0,0.31179523,0.88559,0.62873346,0.087
Kepler-362 c,3.0,,,,37.866281,0.207,,,,,0.184,Kepler-362,291.77164,47.529903,14.5,1123.91,,,0.72,,,5788.0,4.64,,0.207,0.207,0.207,0.20700001,12.165418,12.165418,12.165418,475.80244,475.80244,475.80244,Terran,0.72,0.521276,0.5415061,1.2754337,0.68588441,1.2092271,0.7252772,1.2092271,0.66208845,1.2092271,1.9493851,,,0,0,0,0.38660388,1.44609,2.685755,0.207
Kepler-363 b,3.0,,,,3.614568,0.048,,,,,0.0616,Kepler-363,283.19208,41.305393,13.353,779.76,,,1.49,,,5593.0,4.15,,0.048,0.048,0.048,0.048000001,844.80794,844.80794,844.80794,1373.5182,1373.5182,1373.5182,Terran,1.49,1.9464375,1.0585639,2.5069783,1.3408091,2.376843,1.4180726,2.376843,1.2943273,2.376843,3.7668992,,,0,0,0,0.29274235,1.15463,1.6270695,0.048
Kepler-363 c,3.0,,,,7.542427,0.079,,,,,0.101,Kepler-363,283.19208,41.305393,13.353,779.76,,,1.49,,,5593.0,4.15,,0.079,0.079,0.079,0.079000002,311.8791,311.8791,311.8791,1070.6351,1070.6351,1070.6351,Superterran,1.49,1.9464375,1.0585639,2.5069783,1.3408091,2.376843,1.4180726,2.376843,1.2943273,2.376843,3.7668992,,,0,0,0,0.27424664,1.69271,3.5089223,0.079
Kepler-363 d,3.0,,,,11.932125,0.107,,,,,0.137,Kepler-363,283.19208,41.305393,13.353,779.76,,,1.49,,,5593.0,4.15,,0.107,0.107,0.107,0.107,170.00939,170.00939,170.00939,919.9477,919.9477,919.9477,Superterran,1.49,1.9464375,1.0585639,2.5069783,1.3408091,2.376843,1.4180726,2.376843,1.2943273,2.376843,3.7668992,,,0,0,0,0.2599073,2.05143,4.8629026,0.107
Kepler-364 b,3.0,,,,25.745718,0.178,,,,,0.195,Kepler-364,281.56993,47.398697,13.66,915.02,,,1.28,,,6108.0,4.27,,0.178,0.178,0.178,0.178,64.485889,64.485889,64.485889,721.95659,721.95659,721.95659,Superterran,1.28,2.0431709,1.0514012,2.4577219,1.3317177,2.3301441,1.407821,2.3301441,1.2854512,2.3301441,3.8593674,,,0,0,0,0.29787069,1.54698,3.011575,0.178
Kepler-364 c,3.0,,,,59.980627,0.312,,,,,0.341,Kepler-364,281.56993,47.398697,13.66,915.02,,,1.28,,,6108.0,4.27,,0.312,0.312,0.312,0.31200001,20.989182,20.989182,20.989182,545.31041,545.31041,545.31041,Superterran,1.28,2.0431709,1.0514012,2.4577219,1.3317177,2.3301441,1.407821,2.3301441,1.2854512,2.3301441,3.8593674,,,0,0,0,0.30718354,2.15232,5.2758784,0.312
Kepler-365 b,3.0,,,,10.664903,0.098,,,,,0.103,Kepler-365,295.6266,49.130436,14.651,950.0,,,1.05,,,6012.0,4.43,,0.098,0.098,0.098,0.098000002,134.36649,134.36649,134.36649,867.39648,867.39648,867.39648,Superterran,1.05,1.2904558,0.8404905,1.9688184,1.0645785,1.866619,1.1255037,1.866619,1.0276086,1.866619,3.0671523,,,0,0,0,0.26252545,2.04022,4.8178725,0.098
Kepler-365 c,3.0,,,,17.784129,0.137,,,,,0.144,Kepler-365,295.6266,49.130436,14.651,950.0,,,1.05,,,6012.0,4.43,,0.137,0.137,0.137,0.137,68.754638,68.754638,68.754638,733.61873,733.61873,733.61873,Superterran,1.05,1.2904558,0.8404905,1.9688184,1.0645785,1.866619,1.1255037,1.866619,1.0276086,1.866619,3.0671523,,,0,0,0,0.292263,1.63666,3.3139434,0.137
Kepler-366 b,3.0,,,,3.281959,0.045,,,,,0.023,Kepler-366,296.85204,49.084446,14.842,1959.31,,,1.05,,,6209.0,4.45,,0.045,0.045,0.045,0.045000001,724.98472,724.98472,724.98472,1321.9868,1321.9868,1321.9868,Terran,1.05,1.4680941,0.88577587,2.0663448,1.1219315,1.9590831,1.1859516,1.9590831,1.082936,1.9590831,3.2714532,,,0,0,0,0.28266797,1.4573,2.7211983,0.045
Kepler-366 c,3.0,,,,12.51616,0.11,,,,,0.0561,Kepler-366,296.85204,49.084446,14.842,1959.31,,,1.05,,,6209.0,4.45,,0.11,0.11,0.11,0.11,121.33009,121.33009,121.33009,845.54561,845.54561,845.54561,Superterran,1.05,1.4680941,0.88577587,2.0663448,1.1219315,1.9590831,1.1859516,1.9590831,1.082936,1.9590831,3.2714532,,,0,0,0,0.27602863,1.7936,3.871341,0.11
Kepler-367 b,3.0,,,,37.815724,0.201,,,,,1.06,Kepler-367,297.29242,49.981632,12.879,189.05,,,0.69,,,4710.0,4.63,,0.201,0.201,0.201,0.20100001,5.1961101,5.1961101,5.1961101,384.6489,384.6489,384.6489,Terran,0.69,0.20992804,0.36350753,0.88961247,0.46043799,0.84343126,0.48743738,0.84343126,0.44450589,0.84343126,1.2370835,,,0,0,0,0.51231599,1.30036,2.2425611,0.201
Kepler-367 c,3.0,,,,53.578637,0.253,,,,,1.34,Kepler-367,297.29242,49.981632,12.879,189.05,,,0.69,,,4710.0,4.63,,0.253,0.253,0.253,0.25300001,3.2796645,3.2796645,3.2796645,342.84851,342.84851,342.84851,Terran,0.69,0.20992804,0.36350753,0.88961247,0.46043799,0.84343126,0.48743738,0.84343126,0.44450589,0.84343126,1.2370835,,,0,0,0,0.61792286,1.19947,1.8651456,0.253
Kepler-368 b,3.0,,,,26.84768,0.186,,,,,0.236,Kepler-368,291.88005,45.387936,12.848,788.3,,,2.02,,,5502.0,3.9,,0.186,0.186,0.186,0.186,96.838453,96.838453,96.838453,799.20257,799.20257,799.20257,Neptunian,2.02,3.3502231,1.3961066,3.3155892,1.768355,3.1434793,1.8704209,3.1434793,1.7070717,3.1434793,4.9419761,,,0,0,0,0.21220927,3.26211,10.688141,0.186
Kepler-368 c,3.0,,,,72.379334,0.36,,,,,0.457,Kepler-368,291.88005,45.387936,12.848,788.3,,,2.02,,,5502.0,3.9,,0.36,0.36,0.36,0.36000001,25.850487,25.850487,25.850487,574.46304,574.46304,574.46304,Neptunian,2.02,3.3502231,1.3961066,3.3155892,1.768355,3.1434793,1.8704209,3.1434793,1.7070717,3.1434793,4.9419761,,,0,0,0,0.22387639,3.87866,14.339947,0.36
Kepler-369 b,3.0,,,,2.732756,0.03,,,,,0.115,Kepler-369,293.67424,47.908467,15.673,260.32,,,0.47,,,3591.0,4.79,,0.03,0.03,0.03,0.030000001,36.568191,36.568191,36.568191,626.49957,626.49957,626.49957,Terran,0.47,0.032911372,0.14820325,0.38285768,0.1877212,0.36297745,0.19899666,0.36297745,0.1812042,0.36297745,0.48982028,,,0,0,0,0.32910291,1.13221,1.5166428,0.03
Kepler-369 c,3.0,,,,14.871572,0.094,,,,,0.361,Kepler-369,293.67424,47.908467,15.673,260.32,,,0.47,,,3591.0,4.79,,0.094,0.094,0.094,0.094000002,3.7246912,3.7246912,3.7246912,353.93008,353.93008,353.93008,Terran,0.47,0.032911372,0.14820325,0.38285768,0.1877212,0.36297745,0.19899666,0.36297745,0.1812042,0.36297745,0.48982028,,,0,0,0,0.57467393,1.41246,2.5805743,0.094
Kepler-37 b,3.0,3.17828,-3.17828,3.17828,13.36731,,0.0,88.63,,,,Kepler-37,284.05966,44.518131,9.705,64.04,-0.32,0.87,0.79,,,5417.0,4.57,0.0016207703,0.10520717,0.10520717,0.10520717,0.10520717,43.499826,43.499826,43.499826,654.28474,654.28474,654.28474,Terran,0.79,0.48147991,0.53181464,1.2664496,0.67361557,1.200709,0.71255577,1.200709,0.65027775,1.200709,1.8734964,1.0416171,0.44041038,0,0,0,0.23881246,0.3363,3.17828,0.10520717
Kepler-37 c,3.0,12.001185,,,21.302,,,,,,,Kepler-37,284.05966,44.518131,9.705,64.04,-0.32,0.87,0.79,,,5417.0,4.57,0.003443365,0.14353668,0.14353668,0.14353668,0.14353669,23.369658,23.369658,23.369658,560.15472,560.15472,560.15472,Neptunian,0.79,0.48147991,0.53181464,1.2664496,0.67361557,1.200709,0.71255577,1.200709,0.65027775,1.200709,1.8734964,1.0416171,0.44041038,0,0,0,0.34318727,0.75107,12.001185,0.14353668
Kepler-37 d,3.0,12.201417,,,39.7922,,,,,,,Kepler-37,284.05966,44.518131,9.705,64.04,-0.32,0.87,0.79,,,5417.0,4.57,0.0052516627,0.21771146,0.21771146,0.21771146,0.21771146,10.158173,10.158173,10.158173,454.82969,454.82969,454.82969,Neptunian,0.79,0.48147991,0.53181464,1.2664496,0.67361557,1.200709,0.71255577,1.200709,0.65027775,1.200709,1.8734964,1.0416171,0.44041038,0,0,0,0.37719489,1.93933,12.201417,0.21771146
Kepler-37 e,3.0,,,,51.196,,,,,,,Kepler-37,284.05966,44.518131,9.705,64.04,-0.32,0.87,0.79,,,5417.0,4.57,,0.25753722,0.25753722,0.25753722,0.25753723,7.2593569,7.2593569,7.2593569,418.18596,418.18596,418.18596,,0.79,0.48147991,0.53181464,1.2664496,0.67361557,1.200709,0.71255577,1.200709,0.65027775,1.200709,1.8734964,1.0416171,0.44041038,0,0,0,0.11277478,0.0,0.0,0.25753722
Kepler-370 b,3.0,,,,4.57953,0.054,,,,,0.0447,Kepler-370,292.17112,40.916306,15.198,1207.64,,,0.9,,,5852.0,4.53,,0.054,0.054,0.054,0.054000001,291.87938,291.87938,291.87938,1053.0422,1053.0422,1053.0422,Superterran,0.9,0.85112027,0.68926527,1.6207742,0.87303812,1.5366414,0.92312749,1.5366414,0.84274093,1.5366414,2.4909169,,,0,0,0,0.27939993,1.59182,3.1612732,0.054
Kepler-370 c,3.0,,,,19.02293,0.14,,,,,0.116,Kepler-370,292.17112,40.916306,15.198,1207.64,,,0.9,,,5852.0,4.53,,0.14,0.14,0.14,0.14,43.424504,43.424504,43.424504,654.00132,654.00132,654.00132,Superterran,0.9,0.85112027,0.68926527,1.6207742,0.87303812,1.5366414,0.92312749,1.5366414,0.84274093,1.5366414,2.4909169,,,0,0,0,0.28966844,1.9057,4.2910395,0.14
Kepler-371 b,3.0,,,,34.763278,0.2,,,,,0.24,Kepler-371,292.32646,38.657588,13.865,832.54,,,0.99,,,5666.0,4.39,,0.2,0.2,0.2,0.20000001,22.625872,22.625872,22.625872,555.6435,555.6435,555.6435,Superterran,0.99,0.90503488,0.71873013,1.6985374,0.91036358,1.6103677,0.96275641,1.6103677,0.87879515,1.6103677,2.5685997,,,0,0,0,0.31685985,1.89449,4.2482729,0.2
Kepler-371 c,3.0,,,,67.968015,0.313,,,,,0.376,Kepler-371,292.32646,38.657588,13.865,832.54,,,0.99,,,5666.0,4.39,,0.313,0.313,0.313,0.31300001,9.237972,9.237972,9.237972,444.15962,444.15962,444.15962,Superterran,0.99,0.90503488,0.71873013,1.6985374,0.91036358,1.6103677,0.96275641,1.6103677,0.87879515,1.6103677,2.5685997,,,0,0,0,0.39728553,1.78239,3.8303511,0.313
Kepler-372 b,3.0,,,,6.849692,0.075,,,,,0.048,Kepler-372,291.25619,49.258953,14.881,1561.17,,,1.14,,,6509.0,4.41,,0.075,0.075,0.075,0.075000002,371.56338,371.56338,371.56338,1118.5442,1118.5442,1118.5442,Terran,1.14,2.090044,1.038181,2.4095188,1.3149586,2.2844439,1.3896837,2.2844439,1.2691949,2.2844439,3.9033859,,,0,0,0,0.28860373,1.35641,2.4091308,0.075
Kepler-372 c,3.0,,,,20.053763,0.154,,,,,0.0986,Kepler-372,291.25619,49.258953,14.881,1561.17,,,1.14,,,6509.0,4.41,,0.154,0.154,0.154,0.154,88.128016,88.128016,88.128016,780.59076,780.59076,780.59076,Superterran,1.14,2.090044,1.038181,2.4095188,1.3149586,2.2844439,1.3896837,2.2844439,1.2691949,2.2844439,3.9033859,,,0,0,0,0.26538199,2.08506,4.999023,0.154
Kepler-372 d,3.0,,,,30.092568,0.201,,,,,0.129,Kepler-372,291.25619,49.258953,14.881,1561.17,,,1.14,,,6509.0,4.41,,0.201,0.201,0.201,0.20100001,51.732483,51.732483,51.732483,683.2596,683.2596,683.2596,Superterran,1.14,2.090044,1.038181,2.4095188,1.3149586,2.2844439,1.3896837,2.2844439,1.2691949,2.2844439,3.9033859,,,0,0,0,0.29581131,1.69271,3.5089223,0.201
Kepler-373 b,3.0,,,,5.535309,0.06,,,,,0.0533,Kepler-373,289.38799,50.59705,14.514,1125.74,,,0.84,,,5787.0,4.56,,0.06,0.06,0.06,0.060000002,196.95121,196.95121,196.95121,954.4091,954.4091,954.4091,Terran,0.84,0.70902435,0.63157685,1.4876207,0.79997017,1.4103997,0.84591607,1.4103997,0.77221625,1.4103997,2.2734968,,,0,0,0,0.29191385,1.35641,2.4091308,0.06
Kepler-373 c,3.0,,,,16.725948,0.126,,,,,0.112,Kepler-373,289.38799,50.59705,14.514,1125.74,,,0.84,,,5787.0,4.56,,0.126,0.126,0.126,0.126,44.660138,44.660138,44.660138,658.60485,658.60485,658.60485,Terran,0.84,0.70902435,0.63157685,1.4876207,0.79997017,1.4103997,0.84591607,1.4103997,0.77221625,1.4103997,2.2734968,,,0,0,0,0.31949843,1.24431,2.0809278,0.126
Kepler-374 b,3.0,,,,1.897806,0.029,,,,,0.0221,Kepler-374,294.13793,42.370502,14.686,1312.67,,,0.91,,,5977.0,4.48,,0.029,0.029,0.029,0.029000001,1125.9224,1125.9224,1125.9224,1475.7814,1475.7814,1475.7814,Terran,0.91,0.94690074,0.72150801,1.6914603,0.9138743,1.6036582,0.96620303,1.6036582,0.88214283,1.6036582,2.6273383,,,0,0,0,0.29406397,1.03132,1.0854299,0.029
Kepler-374 c,3.0,,,,3.282807,0.042,,,,,0.032,Kepler-374,294.13793,42.370502,14.686,1312.67,,,0.91,,,5977.0,4.48,,0.042,0.042,0.042,0.042000001,536.7918,536.7918,536.7918,1226.299,1226.299,1226.299,Terran,0.91,0.94690074,0.72150801,1.6914603,0.9138743,1.6036582,0.96620303,1.6036582,0.88214283,1.6036582,2.6273383,,,0,0,0,0.29474026,1.09858,1.3612778,0.042
Kepler-374 d,3.0,,,,5.028219,0.056,,,,,0.0427,Kepler-374,294.13793,42.370502,14.686,1312.67,,,0.91,,,5977.0,4.48,,0.056,0.056,0.056,0.056000001,301.94539,301.94539,301.94539,1062.0061,1062.0061,1062.0061,Terran,0.91,0.94690074,0.72150801,1.6914603,0.9138743,1.6036582,0.96620303,1.6036582,0.88214283,1.6036582,2.6273383,,,0,0,0,0.29112503,1.31157,2.2754822,0.056
Kepler-375 b,3.0,,,,12.125934,0.101,,,,,0.0787,Kepler-375,288.61791,48.098416,15.699,1283.8,,,0.84,,,5826.0,4.57,,0.101,0.101,0.101,0.101,71.398057,71.398057,71.398057,740.57067,740.57067,740.57067,Terran,0.84,0.72833158,0.63861437,1.5026678,0.80888319,1.4246657,0.85531132,1.4246657,0.78081546,1.4246657,2.3042433,,,0,0,0,0.30043895,1.44609,2.685755,0.101
Kepler-375 c,3.0,,,,19.986326,0.141,,,,,0.11,Kepler-375,288.61791,48.098416,15.699,1283.8,,,0.84,,,5826.0,4.57,,0.141,0.141,0.141,0.141,36.634554,36.634554,36.634554,626.78362,626.78362,626.78362,Neptunian,0.84,0.72833158,0.63861437,1.5026678,0.80888319,1.4246657,0.85531132,1.4246657,0.78081546,1.4246657,2.3042433,,,0,0,0,0.25828259,2.64556,7.4891982,0.141
Kepler-376 b,3.0,,,,4.920199,0.057,,,,,0.0601,Kepler-376,291.60717,38.410386,13.776,948.06,,,1.18,,,5900.0,4.3,,0.057,0.057,0.057,0.057000001,465.27637,465.27637,465.27637,1183.2395,1183.2395,1183.2395,Terran,1.18,1.5116829,0.91591717,2.1511641,1.1601187,2.0394992,1.2266278,2.0394992,1.1198506,2.0394992,3.319664,,,0,0,0,0.29557503,1.06495,1.2177294,0.057
Kepler-376 c,3.0,,,,14.172327,0.115,,,,,0.121,Kepler-376,291.60717,38.410386,13.776,948.06,,,1.18,,,5900.0,4.3,,0.115,0.115,0.115,0.115,114.30495,114.30495,114.30495,833.03101,833.03101,833.03101,Superterran,1.18,1.5116829,0.91591717,2.1511641,1.1601187,2.0394992,1.2266278,2.0394992,1.1198506,2.0394992,3.319664,,,0,0,0,0.2767053,1.7936,3.871341,0.115
Kepler-377 b,3.0,,,,12.509529,0.109,,,,,0.129,Kepler-377,295.422,38.735691,13.86,843.65,,,1.22,,,5949.0,4.3,,0.109,0.109,0.109,0.109,140.58248,140.58248,140.58248,877.25875,877.25875,877.25875,Terran,1.22,1.6702604,0.95989235,2.2517898,1.2158169,2.1349016,1.2854653,2.1349016,1.1736066,2.1349016,3.489441,,,0,0,0,0.29339555,1.39004,2.511416,0.109
Kepler-377 c,3.0,,,,27.014976,0.182,,,,,0.216,Kepler-377,295.422,38.735691,13.86,843.65,,,1.22,,,5949.0,4.3,,0.182,0.182,0.182,0.182,50.424478,50.424478,50.424478,678.89914,678.89914,678.89914,Superterran,1.22,1.6702604,0.95989235,2.2517898,1.2158169,2.1349016,1.2854653,2.1349016,1.1736066,2.1349016,3.489441,,,0,0,0,0.27746425,2.06264,4.9081044,0.182
Kepler-378 b,3.0,,,,16.092361,0.112,,,,,0.733,Kepler-378,294.94859,46.438641,12.485,152.77,,,0.67,,,4661.0,4.65,,0.112,0.112,0.112,0.112,15.132777,15.132777,15.132777,502.48669,502.48669,502.48669,Subterran,0.67,0.18982555,0.34634152,0.84943954,0.43869487,0.80534352,0.46444648,0.80534352,0.42351507,0.80534352,1.1763623,,,0,0,0,0.37245099,0.75107,0.34834272,0.112
