P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
HAT-P-33 b,3.0,292.40176,-158.914,158.914,3.47447,,0.0,87.2,,,,HAT-P-33,113.18421,33.835052,11.188,400.55,0.05,1.82,1.79,F4,,6446.0,4.15,0.0029799831,0.054801493,0.054801493,0.054801493,0.054801495,1650.3313,1650.3313,1650.3313,1623.8193,1623.8193,1623.8193,Jovian,1.79,4.9562809,1.6046059,3.7277199,2.0323949,3.5342187,2.1479869,3.5342187,1.9616813,3.5342187,6.0109308,7.8039452,0.56325915,0,0,0,0.045526776,20.7385,292.40176,0.054801493
HAT-P-34 b,3.0,2227.9743,-874.02701,874.02701,5.45265,,0.44,87.1,,,,HAT-P-34,303.19534,18.104868,10.162,251.08,0.22,4.26,1.73,,,6442.0,4.21,0.0044346356,0.10777349,0.055026582,0.14149692,0.10080623,532.62244,230.65864,1525.1714,1176.2975,992.85847,1592.1155,Jovian,1.73,4.6181043,1.5492599,3.5993705,1.9622939,3.4125318,2.0739049,3.4125318,1.8940205,3.4125318,5.8022393,10.290642,0.7478612,0,0,0,0.06192905,15.1335,2227.9743,0.098261753
HAT-P-35 b,3.0,2390.0666,-6566.3265,6566.3265,3.64671,,0.03,87.3,,,,HAT-P-35,123.25076,4.787023,12.46,514.2,0.11,23.56,3.82,,,6096.0,4.21,0.0060136385,0.13295281,0.12890622,0.1368798,0.13290798,1022.7899,963.64365,1086.5443,1440.5163,1419.4628,1462.7051,Jovian,3.82,18.054905,3.1277473,7.3131739,3.9616447,6.9335546,4.18808,6.9335546,3.8240166,6.9335546,11.472587,10.043249,1.3225423,0,0,0,0.025205118,39.7955,2390.0666,0.13289301
HAT-P-36 b,3.0,587.40972,-27.651036,27.651036,1.3273468,0.0241,,87.13,,,0.0812,HAT-P-36,188.26626,44.915352,12.262,296.93,,1.03,1.04,G5 V,,5620.0,,0.0019991109,0.0241,0.0241,0.0241,0.024100001,1664.4337,1664.4337,1664.4337,1627.2772,1627.2772,1627.2772,Jovian,1.04,0.96671974,0.74483622,1.7625755,0.94343143,1.6710817,0.99777056,1.6710817,0.91072214,1.6710817,2.6546915,1.5617423,0.46590446,0,0,0,0.063657576,14.31517,587.40972,0.0241
HAT-P-37 b,3.0,371.54094,-32.736284,32.736284,2.797436,0.0379,0.058,86.9,164.0,,0.0922,HAT-P-37,284.29606,51.269138,13.23,411.0,,0.93,0.88,,,5500.0,,0.0026301664,0.037963748,0.0357018,0.0400982,0.037915957,442.74946,394.87078,498.10915,1167.9119,1135.687,1203.583,Jovian,0.88,0.63489915,0.60783229,1.443621,0.76990065,1.3686836,0.81433935,1.3686836,0.7432195,1.3686836,2.1513751,1.2282605,0.45031054,0,0,0,0.070149202,13.20538,371.54094,0.0379
HAT-P-38 b,3.0,84.860077,-6.3565601,6.3565601,4.640382,0.0523,0.067,88.3,240.0,,0.21,HAT-P-38,35.383234,32.246151,12.557,249.0,,0.89,0.92,G5,,5330.0,,0.0022298364,0.052417387,0.0487959,0.0558041,0.052329393,224.25737,196.53546,257.04341,985.06605,953.90503,1020.1089,Jovian,0.92,0.6120306,0.60248384,1.4389395,0.76312934,1.3642449,0.80731614,1.3642449,0.73669738,1.3642449,2.1122744,0.90382865,0.44375963,0,0,0,0.097199814,9.24825,84.860077,0.0523
HAT-P-39 b,3.0,190.37897,-31.464972,31.464972,3.54387,0.0509,0.0,87.0,,,0.0793,HAT-P-39,113.75825,17.830082,12.422,642.0,,1.4,1.62,,,6430.0,,0.0026181828,0.0509,0.0509,0.0509,0.050900001,1551.4115,1551.4115,1551.4115,1598.9197,1598.9197,1598.9197,Jovian,1.62,4.0194124,1.4463726,3.3609743,1.8319773,3.1865103,1.936193,3.1865103,1.7682412,3.1865103,5.4130876,6.9565707,0.51609202,0,0,0,0.052887086,17.61091,190.37897,0.0509
HAT-P-4 b,3.0,213.26259,-13.984432,10.488324,3.056536,0.04438,0.0,89.91,,,0.141,HAT-P-4,229.99135,36.229664,11.118,314.0,,,,G1 V,,5860.0,,,0.04438,0.04438,0.04438,0.044380001,,,,,,,Jovian,,,,,,,,,,,,,,0,0,0,,14.28154,213.26259,0.04438
HAT-P-40 b,3.0,152.55744,-41.31764,41.31764,4.45724,,0.0,88.3,,,,HAT-P-40,335.51286,45.457378,11.699,470.68,0.22,1.03,1.94,,,6080.0,3.93,0.0028323694,0.05351793,0.05351793,0.05351793,0.053517931,1608.8213,1608.8213,1608.8213,1613.5107,1613.5107,1613.5107,Jovian,1.94,4.6079358,1.5816535,3.6994213,2.0033434,3.5073882,2.1178756,3.5073882,1.9337519,3.5073882,5.7958479,3.4421013,0.46590446,0,0,0,0.054465893,17.0392,152.55744,0.05351793
HAT-P-41 b,3.0,378.21532,-190.6968,190.6968,2.69405,,0.0,87.7,,,,HAT-P-41,297.32265,4.672421,11.087,351.63,0.21,2.56,2.05,,,6390.0,4.14,0.0027403849,0.051823488,0.051823488,0.051823488,0.051823489,2337.4725,2337.4725,2337.4725,1771.4608,1771.4608,1771.4608,Jovian,2.05,6.2776891,1.8118632,4.2130143,2.2949106,3.9943219,2.4255321,3.9943219,2.2150821,3.9943219,6.7649357,7.94184,0.63109943,0,0,0,0.04123942,22.9805,378.21532,0.051823488
HAT-P-42 b,3.0,331.81244,-26.379724,26.379724,4.641878,0.0575,0.0,85.9,,,0.129,HAT-P-42,135.34439,6.09723,12.168,447.0,0.27,1.18,1.53,,5.2,5743.0,4.14,0.0037681074,0.0575,0.0575,0.0575,0.057500001,690.06672,690.06672,690.06672,1305.773,1305.773,1305.773,Jovian,1.53,2.2815331,1.1359417,2.6787617,1.4388123,2.5397096,1.5215102,2.5397096,1.3889036,2.5397096,4.0782811,2.0186614,0.49756833,0,0,0,0.064427332,14.3488,331.81244,0.0575
HAT-P-43 b,3.0,210.40214,-19.06968,19.06968,3.332687,0.0443,0.0,88.7,,,0.0817,HAT-P-43,128.92574,10.206653,13.356,542.0,0.23,1.05,1.1,F9,5.7,5645.0,4.37,0.00259304,0.0443,0.0443,0.0443,0.044300001,560.94767,560.94767,560.94767,1239.8681,1239.8681,1239.8681,Jovian,1.1,1.1008542,0.79366413,1.8767557,1.0052776,1.7793349,1.0631538,1.7793349,0.97042074,1.7793349,2.8328832,1.6407649,0.48595988,0,0,0,0.064737417,14.36001,210.40214,0.0443
