kepid,kepoi_name,planet_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,star_name,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
10004515,K05751.01,,25.26363805,139.3088062,,2.72,,,,,,,,,288.73169,46.943699,12.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004772,K05752.01,,1.391716834,132.09937,0.233,1.421,41.0,36.19,8346.0,1150147.99,9.7,3749.0,0.833,59.684,288.85568,46.997261,13.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006096,K05753.01,,70.516233809,142.8575773,0.587,4.09296,330180.0,52.74,390.0,5.47,3168.8,5511.0,4.531,0.789,289.49918,46.92865,15.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007492,K05754.01,,2.645596805,133.705953,1.239,2.9095,1272.7,167.05,2452.0,8539.63,166.8,4980.0,3.167,5.443,290.08661,46.945202,12.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007916,K05755.01,,388.67155,211.0496,0.0576,11.701,371.3,1.49,210.0,0.46,10.1,5354.0,4.587,0.788,290.23773,46.980042,14.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018364,K05756.01,,105.6327297,229.1273427,,2.73,,,,,,,,,294.52576,46.994301,13.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7255910,K05376.01,,274.553579,158.0863,0.1125,5.95,218.3,1.66,322.0,2.55,6.7,6267.0,4.334,1.118,281.28262,42.89959,13.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7256460,K05377.01,,251.02304011,194.2011858,,3.11,,,,,,,,,281.59372,42.871609,13.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7258902,K05378.01,,1.80774253,132.9483,0.9062,2.637,592.6,5.29,1822.0,2606.24,15.1,5164.0,3.88,1.779,282.78036,42.80621,15.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7282470,K05379.01,,520.655224,160.5611,0.2674,12.94,314.9,7.58,401.0,6.12,14.4,5227.0,3.321,4.313,291.9227,42.892921,12.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
